Date,Time,Latitude,Longitude,Max Winds(kt),SSHWS,RMWnm,CentralPressure(mb),States Affected,Name
1969-08-18,04:00 AM,30.3,-89.4,150,5,10.0,900,"MS5,LA5,AL1",Camille
1970-08-03,09:00 PM,27.8,-97.1,120,4,10.0,944,ATX4,Celia
1983-08-18,07:00 AM,29.1,-95.1,100,3,10.0,962,CTX3,Alicia
1985-09-02,01:00 PM,30.4,-89.2,100,3,10.0,959,"AL3,MS3,AFL3",Elena
1989-09-22,04:00 AM,32.8,-79.8,120,4,20.0,934,"SC4,INC1",Hugo
1992-08-26,09:05 AM,25.5,-80.3,145,5,10.0,922,"CFL5,BFL4",Andrew
1992-08-26,08:30 AM,29.6,-91.5,100,3,20.0,956,LA3,Andrew
1993-08-31,09:00 PM,35.2,-75.1,100,3,30.0,961,NC3,Emily
1995-10-04,10:00 PM,30.3,-87.1,100,3,50.0,942,"AFL3,IAL1",Opal
1996-09-06,12:30 AM,33.9,-78.0,100,3,40.0,954,NC3,Fran
1999-08-23,12:00 AM,26.9,-97.4,100,3,10.0,951,ATX3,Bret
2004-08-13,07:45 PM,26.6,-82.2,130,4,5.0,941,"BFL4,CFL1,DFL1",Charley
2004-09-16,06:50 AM,30.2,-87.9,105,3,25.0,946,"AL3,AFL3",Ivan
2004-09-26,04:00 AM,27.2,-80.2,105,3,45.0,950,"CFL3,BFL1,AFL1",Jeanne
2005-07-10,07:30 PM,30.4,-87.1,105,3,5.0,946,"AFL3,IAL1",Dennis
2005-08-29,11:10 AM,29.3,-89.6,110,3,20.0,920,"LA3,MS3,AL1",Katrina
2005-09-24,07:40 AM,29.7,-93.7,100,3,20.0,937,"LA3,CTX2",Rita
2005-10-24,10:30 AM,25.9,-81.7,105,3,25.0,950,"BFL3,CFL2",Wilma
2017-08-25,03:00 AM,28.0,-96.9,115,4,10.0,937,BTX4,Harvey
2017-09-10,01:00 PM,24.7,-81.5,115,4,10.0,931,"BFL4,CFL1",Irma
2018-10-10,05:30 PM,30.0,-85.5,140,5,10.0,919,"AFL5,I-GA2",Michael
2020-08-27,06:00 AM,29.8,-93.3,130,4,15.0,939,"LA4,ATX1",Laura
2020-10-28,09:00 PM,29.2,-90.6,100,3,20.0,970,"LA3,MS2,I-AL1",Zeta
2021-08-29,04:55 PM,29.1,-90.2,130,4,10.0,931,LA4,Ida
2022-09-28,07:05 PM,26.7,-82.2,130,4,20.0,941,"BFL4,ICFL1,DFL1,SC1",Ian
2023-08-30,11:45 AM,29.9,-83.6,100,3,10.0,950,"AFL3,I-GA1",Idalia
